Année,Sexe,Contrat,Categorie,Valeur_effectifs,Source,Valeur_handicap,Pourcentage_sexe,Part_handicap,Evolution_annuelle
2017,Homme,Non statutaires CDI,Maîtrise,0.0,Effectifs,,0.0,,
2017,Homme,Non statutaires CDI,Maîtrise,2.0,Effectifs,,0.0002465410293581058,,inf
2017,Homme,Non statutaires CDI,Maîtrise,0.0,Effectifs,,0.0,,-100.0
2017,Homme,Non statutaires CDI,Maîtrise,1.0,Effectifs,,0.0001232705146790529,,inf
2017,Homme,Non statutaires CDI,Maîtrise,0.0,Effectifs,,0.0,,-100.0
2017,Homme,Non statutaires CDI,Maîtrise,1.0,Effectifs,,0.0001232705146790529,,inf
2017,Homme,Non statutaires CDI,Maîtrise,0.0,Effectifs,,0.0,,-100.0
2017,Homme,Non statutaires CDI,Maîtrise,0.0,Effectifs,,0.0,,
2017,Homme,Non statutaires CDI,Maîtrise,0.0,Effectifs,,0.0,,
2017,Homme,Non statutaires CDI,Maîtrise,1.0,Effectifs,,0.0001232705146790529,,inf
2017,Homme,Non statutaires CDI,Maîtrise,0.0,Effectifs,,0.0,,-100.0
2017,Homme,Non statutaires CDI,Maîtrise,1.0,Effectifs,,0.0001232705146790529,,inf
2017,Homme,Non statutaires CDI,Maîtrise,0.0,Effectifs,,0.0,,-100.0
2017,Homme,Non statutaires CDI,Maîtrise,0.0,Effectifs,,0.0,,
2017,Homme,Non statutaires CDI,Maîtrise,0.0,Effectifs,,0.0,,
2017,Homme,Non statutaires CDI,Maîtrise,2.0,Effectifs,,0.0002465410293581058,,inf
2017,Homme,Non statutaires CDI,Maîtrise,0.0,Effectifs,,0.0,,-100.0
2017,Homme,Non statutaires CDI,,262.0,Effectifs,,,,
2017,Homme,Statutaires,Cadre,5129.0,Effectifs,,0.6110491603286251,,
2017,Homme,Statutaires,Cadre,6496.0,Effectifs,,0.7739082365948038,,26.65236888282316
2017,Homme,Statutaires,Cadre,3164.0,Effectifs,,0.3769466842035035,,-51.293103448275865
2017,Homme,Statutaires,Cadre,4146.0,Effectifs,,0.4939383542059816,,31.036662452591646
2017,Homme,Statutaires,Cadre,1228.0,Effectifs,,0.14629915556318027,,-70.38109020742884
2017,Homme,Statutaires,Cadre,3151.0,Effectifs,,0.37539791464135264,,156.59609120521174
2017,Homme,Statutaires,Cadre,2148.0,Effectifs,,0.2559043861154,,-31.831164709616
2017,Homme,Statutaires,Cadre,322.0,Effectifs,,0.03836183069327691,,-85.00931098696462
2017,Homme,Statutaires,Cadre,339.0,Effectifs,,0.04038714473608967,,5.2795031055900665
2017,Homme,Statutaires,Cadre,143.0,Effectifs,,0.017036465183660244,,-57.81710914454277
2017,Homme,Statutaires,Cadre,5673.0,Effectifs,,0.6758592096986333,,3867.1328671328674
2017,Homme,Statutaires,Cadre,2546.0,Effectifs,,0.30332056194125157,,-55.120747399964756
2017,Homme,Statutaires,Cadre,2301.0,Effectifs,,0.27413221250071484,,-9.622937941869603
2017,Homme,Statutaires,Cadre,20140.0,Effectifs,,2.399401460132289,,775.271621034333
2017,Homme,Statutaires,Cadre,324.0,Effectifs,,0.03860010293360783,,-98.39126117179742
2017,Homme,Statutaires,Cadre,2178.0,Effectifs,,0.2594784697203637,,572.2222222222223
2017,Homme,Statutaires,Cadre,171.0,Effectifs,,0.020372276548293017,,-92.14876033057851
2017,Homme,Statutaires,Cadre,447.0,Effectifs,,0.053253845713958935,,161.40350877192984
2017,Homme,Statutaires,Cadre,2146.0,Effectifs,,0.2556661138750691,,380.08948545861296
